,Category,Subcategory,Description,AI Classification,
,Construction,,A requirement for emergency scaffolding and repairs to the roof of the Princess Of Wales HospitalWas require on Friday 27 September following storm weather that caused extensive damage tothe roof which resulted in multiple ward closures.The immediate work is to prevent further damage and assess required works to remedy further is undertaken.,construction,
,Construction,,Your Housing Group requires a Clerk of Works for a new build development project. Prosper Procurement Ltd (PROSPER) is managing this procurement on behalf of the Contracting Body. PLEASE NOTE: This is an award notice following a Direct Award under a Framework Agreement and this contract has been let.,construction,
,Construction,,"Design services (including architecture, engineering, urban design, landscape design and commercial development) to develop a single, integrated concept design for a new White Hart Lane station building",construction,
,Construction,,"This tender relates to constructing extensions to the main school building and some internal remodelling to provide facilities including a Hygiene Room and a Physiotherapy Room at Lord Scudamore Academy, Hereford.\r Herefordshire Council wishes to appoint a contractor to complete Extension and Adaptations Works for Special Educational Needs pupils at Lord Scudamore Academy, Friars St, Hereford, HR4 0AS\r",construction,
,Construction,,City Walls repairs,construction,
,Energy,,"This Contract Award Notice covers electricity and/or gas supply procurement services awarded via the Dynamic Purchasing System (DPS). The DPS is available for use by all contracting authorities within England, Scotland, Wales and Northern Ireland as defined by Regulation 2 of the Public Contracts Regulations 2015 #102. The tender process was managed by Equity Energies.",energy,
,Energy,,"The purchase of Liquid Fuels for delivery to the Shrub End Depot, Colchester, via ESPO Liquid Fuels Framework- Ref: 301-22",energy,
,Energy,,Tender Award for provision of O18 Water supply for the production of 18F for use in 18F-FDG production at PET RPU.,energy,
,Energy,,"Luton Council have a biomass boiler which heats our Central Depot, address The Depot, Kingsway, Luton LU4 8AU.  We require a high quality EN plus A1 wood pellets to fuel the biomass boiler.  The wood pellets must be of a high grade as required under Ofgem scheme, Renewable Heat Incentive, to be delivered in a timely manner. We are looking to appoint a single Supplier. ESPO Renewable Biomass & Related Services DPS - 1080 Lot 2 Biomass Fuel Pellets - MINI COMPETITION",energy,
,Energy,,GFL is looking to appoint one or more supplier/s to provide various biofuels as part of its ‘Industrial Fuel Switching (IFS)’ Programmes industry trials. These trials will be carried out at various participating glass manufacturing plants in order to investigate the fuels performance on an industrial scale. The contract will be for an initial 6-month period and split into 5 lots as detailed within this notice and the tender pack.,energy,
