FrameworkNumber,Category
RM6030,Non CCS Managed
RM6122,Non CCS Managed
RM6129,Non CCS Managed
RM6106,Non CCS Managed
YPO569,Non CCS Managed
RM6117,Non CCS Managed
RM6136,Non CCS Managed
RM6139,Non CCS Managed
PS2016,Non CCS Managed
RM6214,Non CCS Managed
RM6324,Non CCS Managed
RM6326,Non CCS Managed
664 Consultancy Services,Non CCS Managed
CSR-ESSEADPS,Non CCS Managed
CSR-RSF,Non CCS Managed
HMRC 15-SCR-1118,Non CCS Managed
HO/CPPP/08,Non CCS Managed
UI_DWP_00658,Non CCS Managed
UI_DWP_100217,Non CCS Managed
UI_DWP_100348),Non CCS Managed
YPO 295,Non CCS Managed
DUMMY,Non CCS Managed
RM4167,Non CCS Managed
YPO295,Non CCS Managed
343,Non CCS Managed
RM6010,Non CCS Managed
RM6005,Non CCS Managed
RM6015,Non CCS Managed
RM6019,Non CCS Managed
664-17,Non CCS Managed
RM6109,Non CCS Managed
RM6156,Non CCS Managed
WHDS,Financial Planning and Estates
WSDS,Financial Planning and Estates
RM6177,Energy
AutomotiveFUEL,Energy
HeatingOil,Energy
DFG/0001,Energy
RM1013,Energy
DFFS/5012,Energy
DFG2a1665,Energy
DFG3a5004,Energy
DFG3b001,Energy
DFG3b002,Energy
RM683,Energy
CLP,Energy
RM3801,Energy
RM6305,Energy
A617388,Energy
A337813,Energy
A517617,Energy
RM6418,Energy
RM3790,Energy
RM6178,Energy
RM6306,Energy
RM3809,Energy
RM6251,Energy
SP-17-004,Energy
SP-17-031,Energy
EDF ELECT,Energy
GAS,Energy
PROCSCOT01,Energy
RM864,Energy
RM331,Energy
RM550,Energy
RM896,Energy
RM964,Energy
RM999,Energy
SP-12-005,Energy
SP-11-010,Energy
RM679,Energy
CM/FME/03/2060,Energy
CM/FME/03/2062,Energy
CM/FME/04/2738,Energy
RM467,Energy
CM/GAO/06/4448,Energy
CM/GAO/06/4452,Energy
CM/NCE/06/4443,Energy
CM/NCE/07/4791,Energy
RM727,Energy
CBS0002,Energy
CER0001,Energy
CES0244,Energy
CES0250,Energy
CGL0055,Energy
RM220,Energy
RM221,Energy
RM222,Energy
RM3768,Energy
RM1075,Energy
RM1076,Energy
RM3792,Energy
RM3791,Energy
RM3800,Energy
RM6011,Energy
SP-21-053,Energy
SP-23-03,Energy
RM6390,Energy
RM6313,Energy
RM6314,Energy
RM6289,Energy
EX-2010-ECOMMERCE,Financial Services
EX-2010-HWSW,Financial Services
EX-2010-MTS,Financial Services
EX-2010-OFFICE,Financial Services
EX-2010-PS,Financial Services
EX-2010-PROPERTY,Financial Services
EX-2010-TELECOMS,Financial Services
EX-2010-TRAVEL,Financial Services
EX-2010-UTILITIES,Financial Services
RM949,Financial Services
RM6172,Financial Services
RM6322,Financial Services
RM6138,Financial Services
RM6323,Financial Services
RM6406,Financial Services
RM6407,Financial Services
RM958,Financial Services
CM/FMT/03/635,Financial Services
CM/FMT/07/4898,Financial Services
CM/FMT/08/5053,Financial Services
CM/FMT/04/2852,Financial Services
RM3731,Financial Services
RM6020,Financial Services
RM6061,Financial Services
RM6120,Financial Services
RM6146,Financial Services
RM1559,Financial Services
A337571,Financial Services
ESS,Financial Services
RM6180,Financial Services
RM6208,Financial Services
RM6226,Financial Services
RM1037,Financial Services
CM/DCO/05/3420,Financial Services
RM3820,Financial Services
RM6402,Financial Services
RM6366,Financial Services
RM6118,Financial Services
RM6186,Financial Services
RM6248,Financial Services
RM6301,Financial Services
RM6325,Financial Services
RM6411,Financial Services
EX-2010-PCS,Financial Services
PS 09 93,Financial Services
RM1027,Financial Services
RM32701,Financial Services
RM505,Financial Services
RM613,Financial Services
RM536,Financial Services
CM/FMT/04/2759,Financial Services
RM537,Financial Services
RM1095,Financial Services
RM3702,Financial Services
RM444,Financial Services
FuelCard,Financial Services
GPC,Financial Services
P&P,Financial Services
RM3784,Financial Services
RM6000,Financial Services
RM6001,Financial Services
RM6383,Financial Services
RM3828,Financial Services
RM6255,Financial Services
RM6367,Financial Services
RM859,Fleet
CM/FMT/06/4474,Fleet
RM858,Fleet
RM464,Fleet
RM646,Fleet
CM/FMT/03/629,Fleet
CM/FMT/06/4678,Fleet
CM/FMT/07/4793,Fleet
CM/FMT/04/2850,Fleet
RM3710,Fleet
RM6096,Fleet
RM6268,Fleet
RM6392,Fleet
RM6381,Fleet
A607821,Fleet
RM807,Fleet
RM1062,Fleet
RM6013,Fleet
RM6265,Fleet
